Name,Year,State,Party,Chamber,NetWorth,NetWorthRank,OSID,DistrictMedInc,District,DW Nominate,State Median Income,MedianIncome
Blumenthal Richard,2011, Connecticut, D, S,100190174,3, N00031685,66905.0,,-0.474,66905.0,
Blumenthal Richard,2010, Connecticut, D, S,73151591,6, N00031685,66905.0,,0.0,66905.0,
Blumenthal Richard,2009, Connecticut, D, S,94870116,5, N00031685,66905.0,,0.0,66905.0,
Blunt Roy,2013, Missouri, R, S,3945011,35, N00005195,,,0.52,49403.0,
Blunt Roy,2012, Missouri, R, S,3460011,40, N00005195,,,0.52,49403.0,
Blunt Roy,2011, Missouri, R, S,3093009,43, N00005195,,,0.52,49403.0,
Blunt Roy,2010, Missouri, R, S,3717510,43, N00005195,,,0.0,49403.0,
Blunt Roy,2009, Missouri, R, S,765010,-1, N00005195,,,0.0,49403.0,
Blunt Roy,2008, Missouri, R, S,601509,227, N00005195,,,0.0,49403.0,
Blunt Roy,2007, Missouri, R, S,1178509,163, N00005195,,,0.0,49403.0,
Blunt Roy,2006, Missouri, R, S,1114506,174, N00005195,,,0.0,49403.0,
Blunt Roy,2005, Missouri, R, S,231503,322, N00005195,,,0.0,49403.0,
Boehner John,2013, Ohio, R, H,4556563,84, N00003675,,,0.747,45887.0,
Boehner John,2012, Ohio, R, H,3924561,92, N00003675,,,0.0,45887.0,
Boehner John,2011, Ohio, R, H,3621057,88, N00003675,,,0.0,45887.0,
Boehner John,2010, Ohio, R, H,4092054,74, N00003675,,,0.526,45887.0,
Boehner John,2009, Ohio, R, H,3570547,83, N00003675,,,0.526,45887.0,
Boehner John,2008, Ohio, R, H,4163011,71, N00003675,,,0.526,45887.0,
Boehner John,2007, Ohio, R, H,5032515,58, N00003675,,,0.526,45887.0,
Boehner John,2006, Ohio, R, H,4834513,68, N00003675,,,0.526,45887.0,
Boehner John,2005, Ohio, R, H,4725015,70, N00003675,,,0.526,45887.0,
Bonamici Suzanne,2013, Oregon, D, H,4603520,81, N00033474,,,-0.414,54067.0,
