Name,Year,State,Party,Chamber,NetWorth,NetWorthRank,OSID,DistrictMedInc,District,DW Nominate,State Median Income,MedianIncome,YearlyChange,WealthGrowthIndex
Bera Ami,2011, California, D, H,3616543,89, N00030717,,,0.0,56883.0,,0.0,-0.0563885883386638
Bera Ami,2012, California, D, H,5128536,73, N00030717,,,0.0,56883.0,,1511993.0,0.12622338509376624
Bera Ami,2013, California, D, H,5103033,73, N00030717,,,-0.19,56883.0,,-25503.0,-0.11598366205847474
Bilirakis Gus,2006, Florida, R, H,446510,-1, N00027462,,,0.377,47114.0,,0.0,-0.00019187074270624583
Bilirakis Gus,2007, Florida, R, H,384509,282, N00027462,,,0.373,47114.0,,-62001.0,-0.1519221000829731
Bilirakis Gus,2008, Florida, R, H,269008,300, N00027462,,,0.373,47114.0,,-115501.0,0.16080949939462405
Bilirakis Gus,2009, Florida, R, H,284510,305, N00027462,,,0.373,47114.0,,15502.0,-0.08109727463365972
Bilirakis Gus,2010, Florida, R, H,454016,281, N00027462,,,0.373,47114.0,,169506.0,-0.07240188413911298
Bilirakis Gus,2011, Florida, R, H,605518,250, N00027462,,,0.373,47114.0,,151502.0,-0.036365456599058224
Bilirakis Gus,2012, Florida, R, H,445518,283, N00027462,,,0.373,47114.0,,-160000.0,0.02123538543703865
Bilirakis Gus,2013, Florida, R, H,483021,271, N00027462,,,0.623,47114.0,,37503.0,-0.10390673946801908
Bishop Rob,2005, Utah, R, H,-61500,428, N00025292,,,0.543,59877.0,,0.0,
Bishop Rob,2006, Utah, R, H,16001,402, N00025292,,,0.543,59877.0,,77501.0,0.016798557897419648
Bishop Rob,2007, Utah, R, H,16001,410, N00025292,,,0.543,59877.0,,0.0,-0.13531303903828587
Bishop Rob,2008, Utah, R, H,3501,413, N00025292,,,0.543,59877.0,,-12500.0,0.1772326126931882
Bishop Rob,2009, Utah, R, H,8501,406, N00025292,,,0.543,59877.0,,5000.0,-0.08313212641525791
Bishop Rob,2010, Utah, R, H,40501,393, N00025292,,,0.543,59877.0,,32000.0,-0.08209815661358706
Bishop Rob,2011, Utah, R, H,40501,384, N00025292,,,0.543,59877.0,,0.0,-0.0563885883386638
Bishop Rob,2012, Utah, R, H,40501,393, N00025292,,,0.543,59877.0,,0.0,0.031282126030495926
Bishop Rob,2013, Utah, R, H,40501,386, N00025292,,,0.83,59877.0,,0.0,-0.11109527433628336
Bishop Sanford,2005, Georgia, D, H,183505,335, N00002674,,,-0.277,47958.0,,0.0,
Bishop Sanford,2006, Georgia, D, H,668006,228, N00002674,,,-0.277,47958.0,,484501.0,0.10602456087197788
Bishop Sanford,2007, Georgia, D, H,335005,298, N00002674,,,-0.277,47958.0,,-333001.0,-0.2245185992218618
Bishop Sanford,2008, Georgia, D, H,335005,289, N00002674,,,-0.277,47958.0,,0.0,0.1792256896170244
Bishop Sanford,2009, Georgia, D, H,-9496,418, N00002674,,,-0.277,47958.0,,-344501.0,-0.15085091640957796
Bishop Sanford,2010, Georgia, D, H,-159496,443, N00002674,,,-0.277,47958.0,,-150000.0,-0.09493193543308792
Bishop Sanford,2011, Georgia, D, H,40504,383, N00002674,,,-0.277,47958.0,,200000.0,-0.02995576007289097
Bishop Sanford,2012, Georgia, D, H,56503,390, N00002674,,,-0.277,47958.0,,15999.0,0.03228673729771295
Bishop Sanford,2013, Georgia, D, H,48503,382, N00002674,,,-0.236,47958.0,,-8000.0,-0.1126287057669986
Bishop Timothy H,2005, New York, D, H,823003,190, N00025413,,,-0.36,51554.0,,0.0,
Bishop Timothy H,2006, New York, D, H,1283003,163, N00025413,,,-0.36,51554.0,,460000.0,0.10065324318431289
Bishop Timothy H,2007, New York, D, H,708003,222, N00025413,,,-0.36,51554.0,,-575000.0,-0.2893462014178467
Bishop Timothy H,2008, New York, D, H,908003,185, N00025413,,,-0.36,51554.0,,200000.0,0.21111492039840354
Bishop Timothy H,2009, New York, D, H,908003,190, N00025413,,,-0.36,51554.0,,0.0,-0.08410091892220811
Bishop Timothy H,2010, New York, D, H,1283003,167, N00025413,,,-0.36,51554.0,,375000.0,-0.057911419607604694
Bishop Timothy H,2011, New York, D, H,992005,200, N00025413,,,-0.36,51554.0,,-290998.0,-0.09484808913708062
Bishop Timothy H,2012, New York, D, H,1342004,183, N00025413,,,-0.36,51554.0,,349999.0,0.053259308286555014
Bishop Timothy H,2013, New York, D, H,1442004,-1, N00025413,,,-0.301,51554.0,,100000.0,-0.09192738145234268
Black Diane,2009, Tennessee, R, H,49409520,8, N00031539,,,0.0,43303.0,,0.0,-0.08410091892220811
Black Diane,2010, Tennessee, R, H,31272522,15, N00031539,,,0.0,43303.0,,-18136998.0,-1.363289924217726
Black Diane,2011, Tennessee, R, H,64744035,8, N00031539,,,0.595,43303.0,,33471513.0,4.3673451862842505
Black Diane,2012, Tennessee, R, H,69569042,8, N00031539,,,0.595,43303.0,,4825007.0,0.33425458659684293
Black Diane,2013, Tennessee, R, H,41915544,18, N00031539,,,0.733,43303.0,,-27653498.0,-5.411688149638958
Blackburn Marsha,2005, Tennessee, R, H,251004,314, N00003105,,,0.632,43303.0,,0.0,
Blackburn Marsha,2006, Tennessee, R, H,298015,309, N00003105,,,0.632,43303.0,,47011.0,0.010114280672126573
Blackburn Marsha,2007, Tennessee, R, H,387018,281, N00003105,,,0.632,43303.0,,89003.0,-0.11147058068825447
Blackburn Marsha,2008, Tennessee, R, H,374515,272, N00003105,,,0.632,43303.0,,-12503.0,0.17723213435472648
Blackburn Marsha,2009, Tennessee, R, H,268515,307, N00003105,,,0.632,43303.0,,-106000.0,-0.10463932006955225
Blackburn Marsha,2010, Tennessee, R, H,456513,280, N00003105,,,0.632,43303.0,,187998.0,-0.0710979157988371
Blackburn Marsha,2011, Tennessee, R, H,424511,281, N00003105,,,0.632,43303.0,,-32002.0,-0.06061810518947012
Blackburn Marsha,2012, Tennessee, R, H,551512,258, N00003105,,,0.632,43303.0,,127001.0,0.039256789168681354
Blackburn Marsha,2013, Tennessee, R, H,640012,246, N00003105,,,0.795,43303.0,,88500.0,-0.09413168913399586
Blumenauer Earl,2005, Oregon, D, H,3569017,88, N00007727,,,-0.487,54067.0,,0.0,
Blumenauer Earl,2006, Oregon, D, H,4077519,82, N00007727,,,-0.487,54067.0,,508502.0,0.11128626430537437
Blumenauer Earl,2007, Oregon, D, H,3739518,81, N00007727,,,-0.487,54067.0,,-338001.0,-0.2258580180251623
Blumenauer Earl,2008, Oregon, D, H,3615019,79, N00007727,,,-0.487,54067.0,,-124499.0,0.1593748029017698
Blumenauer Earl,2009, Oregon, D, H,4302517,68, N00007727,,,-0.487,54067.0,,687498.0,0.049107663266440955
Blumenauer Earl,2010, Oregon, D, H,4924520,66, N00007727,,,-0.487,54067.0,,622003.0,-0.04049393680676311
Blumenauer Earl,2011, Oregon, D, H,6751015,56, N00007727,,,-0.487,54067.0,,1826495.0,0.18500855497779997
Blumenauer Earl,2012, Oregon, D, H,6809015,55, N00007727,,,-0.487,54067.0,,58000.0,0.03492406949562419
Blumenauer Earl,2013, Oregon, D, H,6828015,59, N00007727,,,-0.508,54067.0,,19000.0,-0.10745337468833463
Blumenthal Richard,2009, Connecticut, D, S,94870116,5, N00031685,66905.0,,0.0,66905.0,,0.0,-0.08410091892220811
Blumenthal Richard,2010, Connecticut, D, S,73151591,6, N00031685,66905.0,,0.0,66905.0,,-21718525.0,-1.6158422613280032
Blumenthal Richard,2011, Connecticut, D, S,100190174,3, N00031685,66905.0,,-0.474,66905.0,,27038583.0,3.5171425166055603
Blumenthal Richard,2012, Connecticut, D, S,110426705,2, N00031685,66905.0,,-0.474,66905.0,,10236531.0,0.67405569811727
Blumenthal Richard,2013, Connecticut, D, S,99581170,2, N00031685,66905.0,,-0.474,66905.0,,-10845535.0,-2.1899558058265782
Blunt Roy,2005, Missouri, R, S,231503,322, N00005195,,,0.0,49403.0,,0.0,
Blunt Roy,2006, Missouri, R, S,1114506,174, N00005195,,,0.0,49403.0,,883003.0,0.19338755998098872
Blunt Roy,2007, Missouri, R, S,1178509,163, N00005195,,,0.0,49403.0,,64003.0,-0.11816767470475711
Blunt Roy,2008, Missouri, R, S,601509,227, N00005195,,,0.0,49403.0,,-577000.0,0.08722525881274562
Blunt Roy,2009, Missouri, R, S,765010,-1, N00005195,,,0.0,49403.0,,163501.0,-0.05242121018643533
Blunt Roy,2010, Missouri, R, S,3717510,43, N00005195,,,0.0,49403.0,,2952500.0,0.1238416842784582
Blunt Roy,2011, Missouri, R, S,3093009,43, N00005195,,,0.52,49403.0,,-624501.0,-0.1389252267626808
Blunt Roy,2012, Missouri, R, S,3460011,40, N00005195,,,0.52,49403.0,,367002.0,0.05432696285099598
Blunt Roy,2013, Missouri, R, S,3945011,35, N00005195,,,0.52,49403.0,,485000.0,-0.018130993849171106
Boehner John,2005, Ohio, R, H,4725015,70, N00003675,,,0.526,45887.0,,0.0,
Boehner John,2006, Ohio, R, H,4834513,68, N00003675,,,0.526,45887.0,,109498.0,0.023813212485077975
Boehner John,2007, Ohio, R, H,5032515,58, N00003675,,,0.526,45887.0,,198002.0,-0.08227151866006359
Boehner John,2008, Ohio, R, H,4163011,71, N00003675,,,0.526,45887.0,,-869504.0,0.04058662101036301
Boehner John,2009, Ohio, R, H,3570547,83, N00003675,,,0.526,45887.0,,-592464.0,-0.1988958556897562
